supplier_id,supplier_name,supplier_country,industry,order_id,order_date,promised_delivery_date,actual_delivery_date,promised_lead_time_days,actual_lead_time_days,lead_time_variance_days,on_time_delivery,order_status,quantity_ordered,quantity_received,late_reason,quality_issue_flag
S043,"Garza, Martin And Thomas",Greece,Food,O00179,2024-11-06,2024-11-26,2024-11-27,20,21.0,1.0,0,Completed,862,862,Customs,1
S011,Liu-Gomez,Guam,Clothing,O00180,2025-02-20,2025-03-05,2025-03-06,13,14.0,1.0,0,Completed,814,814,Supplier delay,0
S008,Rowe-Ward,Anguilla,Food,O00181,2024-05-31,2024-06-06,2024-06-06,6,6.0,0.0,1,Completed,751,751,,0
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00182,2024-11-18,2024-12-07,2024-12-05,19,17.0,-2.0,1,Partial,342,333,,0
S039,Newton-Smith,Sierra Leone,Electronics,O00183,2024-06-14,2024-07-12,2024-07-10,28,26.0,-2.0,1,Completed,733,733,,0
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00184,2023-12-10,2023-12-25,2023-12-19,15,9.0,-6.0,1,Completed,420,420,,0
S010,"Rodriguez, Sparks And Jackson",Brunei Darussalam,Automotive,O00185,2025-07-04,2025-07-10,2025-07-05,6,1.0,-5.0,1,Completed,356,356,,0
S003,Bean-Christian,Montenegro,Pharmaceuticals,O00186,2025-07-25,2025-08-15,2025-08-07,21,13.0,-8.0,1,Completed,222,222,,0
S007,"Morris, Day And Miller",Dominica,Automotive,O00187,2025-07-31,2025-08-18,2025-08-17,18,17.0,-1.0,1,Completed,460,460,,1
S039,Newton-Smith,Sierra Leone,Electronics,O00188,2025-05-16,2025-06-10,2025-05-31,25,15.0,-10.0,1,Completed,540,540,,0
S045,"Hughes, Doyle And Mclaughlin",Estonia,Automotive,O00189,2024-10-24,2024-11-05,2024-11-08,12,15.0,3.0,0,Completed,270,270,Weather,0
S016,"Mcdonald, Nunez And Sullivan",Saint Helena,Automotive,O00190,2025-05-23,2025-06-04,2025-06-07,12,15.0,3.0,0,Completed,365,365,Strike,1
S007,"Morris, Day And Miller",Dominica,Automotive,O00191,2023-12-19,2024-01-11,2024-01-08,23,20.0,-3.0,1,Completed,239,239,,0
S018,"Bird, Ray And Walsh",Seychelles,Clothing,O00192,2024-03-09,2024-03-27,2024-03-28,18,19.0,1.0,0,Partial,480,464,Supplier delay,1
S006,"Drake, Davidson And Moreno",Greece,Food,O00193,2024-11-11,2024-12-06,2024-12-05,25,24.0,-1.0,1,Completed,65,65,,0
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00194,2024-09-29,2024-10-29,2024-10-23,30,24.0,-6.0,1,Completed,947,947,,0
S050,Wright-Stewart,Azerbaijan,Automotive,O00195,2025-02-20,2025-03-03,2025-03-05,11,13.0,2.0,0,Partial,157,150,Customs,0
S024,Simmons Plc,Isle of Man,Automotive,O00196,2024-02-18,2024-03-16,2024-03-13,27,24.0,-3.0,1,Completed,227,227,,0
S046,"Roberts, Jones And Kim",Estonia,Automotive,O00197,2025-07-26,2025-08-25,2025-08-20,30,25.0,-5.0,1,Completed,143,143,,0
S007,"Morris, Day And Miller",Dominica,Automotive,O00198,2025-06-16,2025-06-25,2025-06-21,9,5.0,-4.0,1,Completed,659,659,,0
S047,"Riley, Dixon And Williams",Kenya,Pharmaceuticals,O00199,2024-11-14,2024-12-11,2024-12-19,27,35.0,8.0,0,Completed,739,739,Weather,0
S035,Meadows-Carr,Vanuatu,Food,O00200,2023-12-07,2023-12-26,2023-12-29,19,22.0,3.0,0,Completed,209,209,Strike,1
S029,Archer Ltd,Liberia,Pharmaceuticals,O00201,2024-10-22,2024-11-03,2024-11-03,12,12.0,0.0,1,Completed,60,60,,1
S044,Francis Ltd,Colombia,Clothing,O00202,2023-10-20,2023-11-11,2023-11-14,22,25.0,3.0,0,Completed,597,597,Weather,0
S047,"Riley, Dixon And Williams",Kenya,Pharmaceuticals,O00203,2024-10-04,2024-10-12,2024-10-10,8,6.0,-2.0,1,Partial,196,190,,0
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00204,2024-04-13,2024-05-07,2024-05-10,24,27.0,3.0,0,Completed,500,500,Unknown,0
S048,Hodge Plc,Norfolk Island,Food,O00205,2024-11-06,2024-11-21,2024-11-24,15,18.0,3.0,0,Completed,750,750,Weather,0
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00206,2025-07-26,2025-08-02,2025-08-02,7,7.0,0.0,1,Completed,260,260,,0
S007,"Morris, Day And Miller",Dominica,Automotive,O00207,2024-08-04,2024-08-21,2024-08-10,17,6.0,-11.0,1,Partial,606,593,,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00208,2023-11-28,2023-12-10,2023-12-19,12,21.0,9.0,0,Completed,268,268,Unknown,0
S044,Francis Ltd,Colombia,Clothing,O00209,2024-11-08,2024-11-29,2024-11-27,21,19.0,-2.0,1,Completed,533,533,,0
S029,Archer Ltd,Liberia,Pharmaceuticals,O00210,2025-04-05,2025-04-12,2025-04-06,7,1.0,-6.0,1,Completed,548,548,,1
S045,"Hughes, Doyle And Mclaughlin",Estonia,Automotive,O00211,2024-04-14,2024-05-13,2024-05-21,29,37.0,8.0,0,Completed,425,425,Supplier delay,0
S020,Mills Ltd,Rwanda,Automotive,O00212,2024-07-17,2024-08-03,2024-07-29,17,12.0,-5.0,1,Partial,726,706,,0
S025,Francis Group,Tokelau,Automotive,O00213,2025-05-25,2025-05-31,2025-05-31,6,6.0,0.0,1,Completed,806,806,,0
S050,Wright-Stewart,Azerbaijan,Automotive,O00214,2024-04-30,2024-05-25,2024-05-26,25,26.0,1.0,0,Completed,763,763,Strike,0
S045,"Hughes, Doyle And Mclaughlin",Estonia,Automotive,O00215,2023-10-09,2023-11-02,2023-11-04,24,26.0,2.0,0,Completed,673,673,Strike,0
S009,Martinez Plc,Zambia,Automotive,O00216,2024-06-11,2024-07-02,2024-06-30,21,19.0,-2.0,1,Completed,793,793,,0
S007,"Morris, Day And Miller",Dominica,Automotive,O00217,2024-03-03,2024-03-09,2024-03-04,6,1.0,-5.0,1,Completed,485,485,,0
S046,"Roberts, Jones And Kim",Estonia,Automotive,O00218,2025-06-09,2025-06-19,2025-06-22,10,13.0,3.0,0,Completed,676,676,Strike,0
S027,Pace-Hernandez,British Indian Ocean Territory (Chagos Archipelago),Electronics,O00219,2025-05-11,2025-05-24,2025-05-20,13,9.0,-4.0,1,Partial,592,575,,0
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00220,2024-07-30,2024-08-13,2024-08-18,14,19.0,5.0,0,Completed,575,575,Customs,0
S024,Simmons Plc,Isle of Man,Automotive,O00221,2025-02-22,2025-03-12,2025-03-12,18,18.0,0.0,1,Completed,897,897,,1
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00222,2023-11-05,2023-11-19,2023-11-21,14,16.0,2.0,0,Completed,262,262,Supplier delay,1
S031,Johnson Plc,Northern Mariana Islands,Automotive,O00223,2025-06-11,2025-07-11,2025-07-06,30,25.0,-5.0,1,Completed,607,607,,0
S022,"Mcgee, Poole And Griffith",Montserrat,Clothing,O00224,2025-02-24,2025-03-08,2025-03-08,12,12.0,0.0,1,Completed,477,477,,1
S022,"Mcgee, Poole And Griffith",Montserrat,Clothing,O00225,2024-02-11,2024-03-06,2024-03-02,24,20.0,-4.0,1,Completed,841,841,,0
S027,Pace-Hernandez,British Indian Ocean Territory (Chagos Archipelago),Electronics,O00226,2025-02-01,2025-02-10,2025-02-15,9,14.0,5.0,0,Partial,437,428,Unknown,1
S008,Rowe-Ward,Anguilla,Food,O00227,2023-09-24,2023-10-05,2023-10-06,11,12.0,1.0,0,Partial,612,595,Weather,0
S038,Castaneda Group,Kyrgyz Republic,Food,O00228,2024-11-20,2024-11-27,2024-11-24,7,4.0,-3.0,1,Partial,818,806,,1
S009,Martinez Plc,Zambia,Automotive,O00229,2025-06-16,2025-07-16,2025-07-09,30,23.0,-7.0,1,Completed,410,410,,0
S026,Reid Llc,South Africa,Automotive,O00230,2025-08-06,2025-08-15,2025-08-18,9,12.0,3.0,0,Completed,681,681,Supplier delay,0
S010,"Rodriguez, Sparks And Jackson",Brunei Darussalam,Automotive,O00231,2024-06-08,2024-06-25,2024-06-17,17,9.0,-8.0,1,Completed,656,656,,0
S036,"Perez, Watson And Jones",Angola,Electronics,O00232,2023-12-26,2024-01-23,2024-01-22,28,27.0,-1.0,1,Completed,864,864,,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00233,2024-10-04,2024-10-18,2024-10-29,14,25.0,11.0,0,Partial,61,58,Customs,0
S011,Liu-Gomez,Guam,Clothing,O00234,2023-11-30,2023-12-14,2023-12-09,14,9.0,-5.0,1,Completed,628,628,,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00235,2025-02-10,2025-03-10,2025-03-08,28,26.0,-2.0,1,Completed,330,330,,0
S043,"Garza, Martin And Thomas",Greece,Food,O00236,2024-01-05,2024-01-14,2024-01-13,9,8.0,-1.0,1,Completed,426,426,,0
S033,Romero-Phillips,Mauritania,Automotive,O00237,2024-09-06,2024-09-12,2024-09-15,6,9.0,3.0,0,Completed,904,904,Customs,0
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00238,2025-02-05,2025-02-28,2025-02-20,23,15.0,-8.0,1,Completed,233,233,,0
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00239,2023-11-08,2023-11-19,2023-11-14,11,6.0,-5.0,1,Completed,500,500,,0
S039,Newton-Smith,Sierra Leone,Electronics,O00240,2025-01-17,2025-02-13,2025-02-22,27,36.0,9.0,0,Completed,962,962,Weather,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00241,2025-02-22,2025-03-01,2025-03-03,7,9.0,2.0,0,Completed,376,376,Supplier delay,1
S050,Wright-Stewart,Azerbaijan,Automotive,O00242,2024-03-28,2024-04-26,2024-04-25,29,28.0,-1.0,1,Partial,362,361,,0
S026,Reid Llc,South Africa,Automotive,O00243,2025-08-03,2025-08-18,2025-08-20,15,17.0,2.0,0,Completed,527,527,Customs,1
S005,Smith-Mcgee,Albania,Pharmaceuticals,O00244,2025-08-27,2025-09-09,2025-09-11,13,15.0,2.0,0,Completed,164,164,Supplier delay,0
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00245,2025-04-19,2025-05-10,2025-05-07,21,18.0,-3.0,1,Completed,56,56,,0
S011,Liu-Gomez,Guam,Clothing,O00246,2024-04-09,2024-05-08,2024-05-01,29,22.0,-7.0,1,Completed,761,761,,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00247,2025-08-23,2025-09-16,2025-09-17,24,25.0,1.0,0,Partial,680,660,Supplier delay,0
S021,Taylor-Collins,Sri Lanka,Clothing,O00248,2024-09-16,2024-10-15,2024-10-24,29,38.0,9.0,0,Partial,87,80,Unknown,0
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00249,2025-08-26,2025-09-05,2025-09-02,10,7.0,-3.0,1,Partial,696,692,,0
S003,Bean-Christian,Montenegro,Pharmaceuticals,O00250,2023-09-06,2023-09-27,2023-09-25,21,19.0,-2.0,1,Completed,677,677,,0
S040,Romero Ltd,Jamaica,Food,O00251,2024-11-25,2024-12-24,2024-12-30,29,35.0,6.0,0,Completed,865,865,Customs,0
S048,Hodge Plc,Norfolk Island,Food,O00252,2024-02-26,2024-03-06,2024-03-07,9,10.0,1.0,0,Completed,327,327,Unknown,0
S038,Castaneda Group,Kyrgyz Republic,Food,O00253,2025-06-29,2025-07-17,2025-07-12,18,13.0,-5.0,1,Completed,782,782,,0
S001,Jenkins Inc,Mongolia,Clothing,O00254,2024-06-06,2024-06-19,2024-06-20,13,14.0,1.0,0,Completed,531,531,Strike,0
S006,"Drake, Davidson And Moreno",Greece,Food,O00255,2023-10-22,2023-10-29,2023-10-25,7,3.0,-4.0,1,Completed,438,438,,0
S050,Wright-Stewart,Azerbaijan,Automotive,O00256,2024-02-23,2024-03-05,,11,,,1,Cancelled,429,0,,1
S036,"Perez, Watson And Jones",Angola,Electronics,O00257,2024-01-14,2024-01-23,2024-01-22,9,8.0,-1.0,1,Completed,890,890,,0
S033,Romero-Phillips,Mauritania,Automotive,O00258,2024-03-09,2024-04-07,,29,,,1,Cancelled,150,0,,1
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00259,2024-10-08,2024-11-05,2024-11-08,28,31.0,3.0,0,Completed,330,330,Customs,0
S008,Rowe-Ward,Anguilla,Food,O00260,2024-11-23,2024-12-14,,21,,,0,Cancelled,371,0,Strike,0
S042,Casey Plc,Colombia,Clothing,O00261,2025-01-18,2025-01-28,2025-01-25,10,7.0,-3.0,1,Partial,931,923,,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00262,2025-02-16,2025-03-12,2025-03-14,24,26.0,2.0,0,Completed,622,622,Unknown,0
S010,"Rodriguez, Sparks And Jackson",Brunei Darussalam,Automotive,O00263,2023-09-29,2023-10-04,2023-10-02,5,3.0,-2.0,1,Completed,616,616,,1
S046,"Roberts, Jones And Kim",Estonia,Automotive,O00264,2024-06-30,2024-07-27,2024-07-24,27,24.0,-3.0,1,Completed,613,613,,0
S004,"Clark, Douglas And Jordan",Isle of Man,Food,O00265,2025-04-07,2025-05-03,2025-05-04,26,27.0,1.0,0,Completed,278,278,Customs,0
S005,Smith-Mcgee,Albania,Pharmaceuticals,O00266,2025-04-13,2025-04-27,2025-04-30,14,17.0,3.0,0,Completed,94,94,Weather,0
S005,Smith-Mcgee,Albania,Pharmaceuticals,O00267,2024-01-24,2024-02-16,2024-02-24,23,31.0,8.0,0,Partial,829,819,Strike,0
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00268,2023-09-16,2023-10-15,2023-10-15,29,29.0,0.0,1,Completed,53,53,,0
S040,Romero Ltd,Jamaica,Food,O00269,2023-09-27,2023-10-13,2023-10-25,16,28.0,12.0,0,Partial,360,359,Weather,0
S011,Liu-Gomez,Guam,Clothing,O00270,2025-03-29,2025-04-10,2025-04-09,12,11.0,-1.0,1,Completed,865,865,,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00271,2024-12-16,2024-12-24,2024-12-20,8,4.0,-4.0,1,Partial,119,101,,0
S024,Simmons Plc,Isle of Man,Automotive,O00272,2023-12-14,2023-12-23,2023-12-20,9,6.0,-3.0,1,Partial,354,349,,0
S022,"Mcgee, Poole And Griffith",Montserrat,Clothing,O00273,2025-04-01,2025-04-27,2025-04-28,26,27.0,1.0,0,Completed,293,293,Weather,0
S033,Romero-Phillips,Mauritania,Automotive,O00274,2024-10-30,2024-11-08,2024-11-06,9,7.0,-2.0,1,Completed,500,500,,0
S039,Newton-Smith,Sierra Leone,Electronics,O00275,2024-07-18,2024-07-31,2024-07-30,13,12.0,-1.0,1,Partial,225,205,,0
S012,Turner Ltd,Venezuela,Automotive,O00276,2023-12-30,2024-01-08,2024-01-13,9,14.0,5.0,0,Completed,244,244,Strike,1
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00277,2023-09-29,2023-10-11,2023-10-09,12,10.0,-2.0,1,Completed,686,686,,0
S016,"Mcdonald, Nunez And Sullivan",Saint Helena,Automotive,O00278,2025-08-05,2025-09-01,2025-08-29,27,24.0,-3.0,1,Completed,805,805,,1
S026,Reid Llc,South Africa,Automotive,O00279,2025-07-21,2025-08-13,2025-08-10,23,20.0,-3.0,1,Completed,331,331,,0
S043,"Garza, Martin And Thomas",Greece,Food,O00280,2023-09-12,2023-09-24,2023-09-30,12,18.0,6.0,0,Partial,774,756,Supplier delay,0
S039,Newton-Smith,Sierra Leone,Electronics,O00281,2024-06-05,2024-06-21,2024-07-04,16,29.0,13.0,0,Completed,304,304,Weather,1
S010,"Rodriguez, Sparks And Jackson",Brunei Darussalam,Automotive,O00282,2025-04-29,2025-05-15,2025-05-14,16,15.0,-1.0,1,Completed,407,407,,1
S010,"Rodriguez, Sparks And Jackson",Brunei Darussalam,Automotive,O00283,2025-04-02,2025-04-09,2025-04-11,7,9.0,2.0,0,Completed,529,529,Strike,1
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00284,2025-01-14,2025-01-25,2025-01-16,11,2.0,-9.0,1,Completed,129,129,,0
S048,Hodge Plc,Norfolk Island,Food,O00285,2024-04-25,2024-05-12,2024-05-21,17,26.0,9.0,0,Partial,103,101,Unknown,0
S009,Martinez Plc,Zambia,Automotive,O00286,2025-01-16,2025-02-03,2025-01-23,18,7.0,-11.0,1,Partial,156,147,,1
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00287,2024-11-16,2024-11-22,2024-11-22,6,6.0,0.0,1,Partial,484,475,,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00288,2023-11-05,2023-11-14,2023-11-13,9,8.0,-1.0,1,Completed,461,461,,1
S031,Johnson Plc,Northern Mariana Islands,Automotive,O00289,2023-12-28,2024-01-21,2024-01-20,24,23.0,-1.0,1,Completed,884,884,,0
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00290,2024-12-13,2024-12-22,2024-12-21,9,8.0,-1.0,1,Completed,204,204,,1
S035,Meadows-Carr,Vanuatu,Food,O00291,2025-03-04,2025-04-03,2025-03-28,30,24.0,-6.0,1,Completed,527,527,,0
S043,"Garza, Martin And Thomas",Greece,Food,O00292,2024-11-11,2024-12-08,2024-12-09,27,28.0,1.0,0,Completed,944,944,Unknown,0
S041,Coleman-Duncan,Zimbabwe,Pharmaceuticals,O00293,2024-05-20,2024-06-05,2024-06-01,16,12.0,-4.0,1,Partial,874,859,,0
S036,"Perez, Watson And Jones",Angola,Electronics,O00294,2025-03-05,2025-04-02,2025-03-30,28,25.0,-3.0,1,Completed,622,622,,0
S046,"Roberts, Jones And Kim",Estonia,Automotive,O00295,2025-05-24,2025-06-18,2025-06-18,25,25.0,0.0,1,Completed,966,966,,1
S003,Bean-Christian,Montenegro,Pharmaceuticals,O00296,2024-09-20,2024-10-14,2024-10-10,24,20.0,-4.0,1,Partial,193,177,,0
S006,"Drake, Davidson And Moreno",Greece,Food,O00297,2024-12-31,2025-01-18,2025-01-19,18,19.0,1.0,0,Partial,448,444,Customs,1
S039,Newton-Smith,Sierra Leone,Electronics,O00298,2025-07-25,2025-08-09,2025-08-06,15,12.0,-3.0,1,Completed,263,263,,0
S001,Jenkins Inc,Mongolia,Clothing,O00299,2024-10-13,2024-10-28,2024-10-28,15,15.0,0.0,1,Partial,368,363,,0
S001,Jenkins Inc,Mongolia,Clothing,O00300,2025-02-16,2025-02-23,2025-02-21,7,5.0,-2.0,1,Completed,529,529,,1
S029,Archer Ltd,Liberia,Pharmaceuticals,O00301,2024-09-01,2024-09-07,2024-09-11,6,10.0,4.0,0,Completed,617,617,Unknown,1
S040,Romero Ltd,Jamaica,Food,O00302,2025-03-12,2025-04-07,2025-03-29,26,17.0,-9.0,1,Completed,83,83,,0
S039,Newton-Smith,Sierra Leone,Electronics,O00303,2024-07-22,2024-08-06,2024-08-10,15,19.0,4.0,0,Completed,652,652,Unknown,0
S035,Meadows-Carr,Vanuatu,Food,O00304,2025-01-30,2025-02-10,2025-02-20,11,21.0,10.0,0,Completed,682,682,Supplier delay,0
S030,Woods-Stevenson,Cote d'Ivoire,Automotive,O00305,2025-07-23,2025-08-04,2025-07-30,12,7.0,-5.0,1,Completed,575,575,,1
S035,Meadows-Carr,Vanuatu,Food,O00306,2024-04-25,2024-05-02,2024-04-27,7,2.0,-5.0,1,Completed,190,190,,0
S040,Romero Ltd,Jamaica,Food,O00307,2024-10-26,2024-11-12,2024-11-16,17,21.0,4.0,0,Completed,197,197,Weather,0
S007,"Morris, Day And Miller",Dominica,Automotive,O00308,2025-03-04,2025-03-29,2025-03-27,25,23.0,-2.0,1,Completed,693,693,,1
S012,Turner Ltd,Venezuela,Automotive,O00309,2024-04-22,2024-05-11,2024-05-15,19,23.0,4.0,0,Completed,211,211,Strike,0
S004,"Clark, Douglas And Jordan",Isle of Man,Food,O00310,2024-11-06,2024-11-17,2024-11-18,11,12.0,1.0,0,Completed,901,901,Unknown,0
S004,"Clark, Douglas And Jordan",Isle of Man,Food,O00311,2024-01-21,2024-02-09,2024-02-08,19,18.0,-1.0,1,Completed,533,533,,1
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00312,2024-09-11,2024-09-22,2024-09-21,11,10.0,-1.0,1,Completed,758,758,,1
S006,"Drake, Davidson And Moreno",Greece,Food,O00313,2024-09-26,2024-10-17,2024-10-22,21,26.0,5.0,0,Completed,728,728,Supplier delay,0
S046,"Roberts, Jones And Kim",Estonia,Automotive,O00314,2024-05-11,2024-06-08,2024-06-09,28,29.0,1.0,0,Completed,322,322,Customs,0
S047,"Riley, Dixon And Williams",Kenya,Pharmaceuticals,O00315,2025-04-06,2025-04-17,2025-04-22,11,16.0,5.0,0,Completed,739,739,Weather,0
S035,Meadows-Carr,Vanuatu,Food,O00316,2024-10-28,2024-11-07,2024-11-11,10,14.0,4.0,0,Partial,572,570,Supplier delay,1
S011,Liu-Gomez,Guam,Clothing,O00317,2024-05-12,2024-05-28,2024-05-30,16,18.0,2.0,0,Completed,168,168,Unknown,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00318,2025-06-03,2025-06-24,2025-06-28,21,25.0,4.0,0,Completed,371,371,Weather,1
S006,"Drake, Davidson And Moreno",Greece,Food,O00319,2023-11-18,2023-12-16,2023-12-12,28,24.0,-4.0,1,Completed,539,539,,0
S039,Newton-Smith,Sierra Leone,Electronics,O00320,2024-03-13,2024-03-18,2024-03-16,5,3.0,-2.0,1,Completed,689,689,,0
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00321,2024-09-19,2024-10-17,2024-10-24,28,35.0,7.0,0,Completed,612,612,Supplier delay,1
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00322,2023-11-20,2023-12-09,2023-12-08,19,18.0,-1.0,1,Partial,860,840,,0
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00323,2024-05-13,2024-05-18,2024-05-14,5,1.0,-4.0,1,Completed,621,621,,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00324,2024-03-02,2024-03-13,2024-03-12,11,10.0,-1.0,1,Completed,260,260,,0
S007,"Morris, Day And Miller",Dominica,Automotive,O00325,2024-08-09,2024-08-19,2024-08-17,10,8.0,-2.0,1,Completed,428,428,,0
S042,Casey Plc,Colombia,Clothing,O00326,2023-10-20,2023-11-05,2023-11-02,16,13.0,-3.0,1,Completed,182,182,,0
S020,Mills Ltd,Rwanda,Automotive,O00327,2024-01-25,2024-02-24,2024-02-24,30,30.0,0.0,1,Completed,78,78,,0
S001,Jenkins Inc,Mongolia,Clothing,O00328,2024-11-30,2024-12-07,2024-12-01,7,1.0,-6.0,1,Completed,260,260,,0
S031,Johnson Plc,Northern Mariana Islands,Automotive,O00329,2025-04-13,2025-04-23,2025-04-22,10,9.0,-1.0,1,Completed,254,254,,0
S013,Rodriguez Plc,Niue,Electronics,O00330,2024-02-16,2024-02-25,2024-02-26,9,10.0,1.0,0,Completed,90,90,Customs,1
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00331,2024-10-15,2024-10-22,2024-10-22,7,7.0,0.0,1,Partial,869,851,,0
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00332,2023-11-29,2023-12-13,2023-12-07,14,8.0,-6.0,1,Completed,731,731,,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00333,2024-11-14,2024-12-13,2024-12-11,29,27.0,-2.0,1,Completed,924,924,,0
S004,"Clark, Douglas And Jordan",Isle of Man,Food,O00334,2025-03-29,2025-04-19,2025-04-23,21,25.0,4.0,0,Completed,660,660,Unknown,1
S021,Taylor-Collins,Sri Lanka,Clothing,O00335,2025-04-15,2025-05-11,2025-05-10,26,25.0,-1.0,1,Completed,172,172,,1
S001,Jenkins Inc,Mongolia,Clothing,O00336,2024-11-02,2024-11-15,2024-11-10,13,8.0,-5.0,1,Completed,137,137,,0
S021,Taylor-Collins,Sri Lanka,Clothing,O00337,2025-02-15,2025-03-08,2025-03-08,21,21.0,0.0,1,Completed,718,718,,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00338,2024-12-06,2024-12-31,2024-12-30,25,24.0,-1.0,1,Completed,410,410,,0
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00339,2023-10-13,2023-11-04,2023-11-07,22,25.0,3.0,0,Completed,623,623,Supplier delay,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00340,2025-01-22,2025-02-13,2025-02-06,22,15.0,-7.0,1,Completed,914,914,,0
S024,Simmons Plc,Isle of Man,Automotive,O00341,2024-09-20,2024-10-06,2024-10-04,16,14.0,-2.0,1,Completed,643,643,,0
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00342,2024-07-06,2024-07-14,2024-07-07,8,1.0,-7.0,1,Partial,345,344,,1
S010,"Rodriguez, Sparks And Jackson",Brunei Darussalam,Automotive,O00343,2025-06-23,2025-07-17,2025-07-17,24,24.0,0.0,1,Partial,498,494,,1
S027,Pace-Hernandez,British Indian Ocean Territory (Chagos Archipelago),Electronics,O00344,2024-06-27,2024-07-25,2024-07-29,28,32.0,4.0,0,Completed,311,311,Unknown,0
S033,Romero-Phillips,Mauritania,Automotive,O00345,2024-02-02,2024-02-12,2024-02-09,10,7.0,-3.0,1,Completed,131,131,,0
S038,Castaneda Group,Kyrgyz Republic,Food,O00346,2025-01-19,2025-02-08,2025-02-02,20,14.0,-6.0,1,Completed,941,941,,0
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00347,2025-01-19,2025-02-09,2025-02-05,21,17.0,-4.0,1,Completed,268,268,,0
S008,Rowe-Ward,Anguilla,Food,O00348,2023-10-26,2023-11-21,2023-11-24,26,29.0,3.0,0,Completed,675,675,Unknown,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00349,2025-02-10,2025-02-23,2025-02-15,13,5.0,-8.0,1,Completed,953,953,,1
S026,Reid Llc,South Africa,Automotive,O00350,2025-06-02,2025-06-29,2025-06-29,27,27.0,0.0,1,Completed,675,675,,0
S050,Wright-Stewart,Azerbaijan,Automotive,O00351,2025-07-15,2025-08-11,2025-08-08,27,24.0,-3.0,1,Completed,280,280,,0
S044,Francis Ltd,Colombia,Clothing,O00352,2025-02-06,2025-02-14,2025-02-26,8,20.0,12.0,0,Completed,188,188,Customs,1
S010,"Rodriguez, Sparks And Jackson",Brunei Darussalam,Automotive,O00353,2023-11-09,2023-11-26,2023-11-27,17,18.0,1.0,0,Completed,689,689,Unknown,0
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00354,2024-11-15,2024-12-14,2024-12-15,29,30.0,1.0,0,Completed,916,916,Supplier delay,0
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00355,2024-05-17,2024-05-24,,7,,,0,Cancelled,693,0,Strike,0
S043,"Garza, Martin And Thomas",Greece,Food,O00356,2023-11-13,2023-11-26,2023-11-21,13,8.0,-5.0,1,Completed,847,847,,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00357,2025-03-15,2025-03-30,2025-03-22,15,7.0,-8.0,1,Completed,159,159,,0
S041,Coleman-Duncan,Zimbabwe,Pharmaceuticals,O00358,2025-03-09,2025-04-05,,27,,,0,Cancelled,427,0,Customs,0
